x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,47.60118698,10.62661783,21.24419770,10.62661783,4.39854896,9.48387323,21.24419770,9.48387323,50.67660926
0.37165622,-0.32794343,0.24566054,0.50540362,-0.49933210,0.49576250,0.49945388,299.65477727,0.85725164,0.53106202,0.85725164,298.67885274,-0.48381125,0.53106202,-0.48381125,299.48384326,47.65617074,10.70242228,21.30779147,10.70242228,4.41953171,9.50457259,21.30779147,9.50457259,50.04808287
0.37164500,-0.32795304,0.24566212,0.50540527,-0.49932936,0.49576102,0.49945642,299.30928247,1.71439198,1.05973075,1.71439198,297.36168669,-0.96495047,1.05973075,-0.96495047,298.97066154,47.71172098,10.77928963,21.37224466,10.77928963,4.44101103,9.52573564,21.37224466,9.52573564,49.41730770
0.37162656,-0.32796779,0.24566471,0.50540796,-0.49932485,0.49575861,0.49946059,298.96351383,2.57140403,1.58596150,2.57140403,296.04859291,-1.44336530,1.58596150,-1.44336530,298.46046386,47.76782269,10.85721522,21.43755166,10.85721522,4.46299360,9.54736796,21.43755166,9.54736796,48.78458680
0.37160109,-0.32798670,0.24566825,0.50541166,-0.49931863,0.49575531,0.49946635,298.61746943,3.42827063,2.10970951,3.42827063,294.73966325,-1.91900308,2.10970951,-1.91900308,297.95325752,47.82445965,10.93619332,21.50370591,10.93619332,4.48548587,9.56947485,21.50370591,9.56947485,48.15023368
0.37156882,-0.32800879,0.24567270,0.50541631,-0.49931074,0.49575118,0.49947363,298.27114716,4.28497441,2.63092997,4.28497441,293.43499027,-2.39181096,2.63092997,-2.39181096,297.44904806,47.88161442,11.01621707,21.57069986,11.01621707,4.50849398,9.59206134,21.57069986,9.59206134,47.51457218
0.37152997,-0.32803312,0.24567801,0.50542187,-0.49930124,0.49574625,0.49948240,297.92454475,5.14149781,3.14957807,5.14149781,292.13466732,-2.86173587,3.14957807,-2.86173587,296.94783927,47.93926826,11.09727851,21.63852494,11.09727851,4.53202377,9.61513213,21.63852494,9.61513213,46.87793630
0.37148476,-0.32805879,0.24568413,0.50542829,-0.49929016,0.49574058,0.49949260,297.57765976,5.99782308,3.66560900,5.99782308,290.83878842,-3.32872458,3.66560900,-3.32872458,296.44963308,47.99740115,11.17936842,21.70717153,11.17936842,4.55608072,9.63869158,21.70717153,9.63869158,46.24066998
0.37143341,-0.32808490,0.24569103,0.50543554,-0.49927757,0.49573419,0.49950419,297.23048952,6.85393229,4.17897800,6.85393229,289.54744832,-3.79272369,4.17897800,-3.79272369,295.95442958,48.05599170,11.26247641,21.77662891,11.26247641,4.58066993,9.66274369,21.77662891,9.66274369,45.60312691
0.37137616,-0.32811060,0.24569865,0.50544358,-0.49926349,0.49572714,0.49951712,296.88303119,7.70980731,4.68964037,7.70980731,288.26074244,-4.25367969,4.68964037,-4.25367969,295.46222699,48.11501713,11.34659076,21.84688525,11.34659076,4.60579611,9.68729207,21.84688525,9.68729207,44.96567021
0.37131324,-0.32813504,0.24570696,0.50545237,-0.49924798,0.49571946,0.49953136,296.53528169,8.56542981,5.19755150,8.56542981,286.97876686,-4.71153897,5.19755150,-4.71153897,294.97302156,48.17445326,11.43169847,21.91792754,11.43169847,4.63146350,9.71233986,21.91792754,9.71233986,44.32867216
0.37124490,-0.32815742,0.24571590,0.50546186,-0.49923107,0.49571119,0.49954685,296.18723776,9.42078131,5.70266690,9.42078131,285.70161829,-5.16624788,5.70266690,-5.16624788,294.48680765,48.23427441,11.51778514,21.98974160,11.51778514,4.65767589,9.73788981,21.98974160,9.73788981,43.69251389
0.37117137,-0.32817695,0.24572544,0.50547203,-0.49921281,0.49570238,0.49956356,295.83889587,10.27584311,6.20494223,10.27584311,284.42939406,-5.61775273,6.20494223,-5.61775273,294.00357763,48.29445344,11.60483502,22.06231199,11.60483502,4.68443656,9.76394412,22.06231199,9.76394412,43.05758494
0.37109290,-0.32819286,0.24573553,0.50548283,-0.49919323,0.49569305,0.49958145,295.49025227,11.13059632,6.70433333,11.13059632,283.16219211,-6.06599981,6.70433333,-6.06599981,293.52332187,48.35496164,11.69283087,22.13562202,11.69283087,4.71174822,9.79050450,22.13562202,9.79050450,42.42428294
0.37100973,-0.32820441,0.24574613,0.50549424,-0.49917237,0.49568325,0.49960048,295.14130297,11.98502190,7.20079627,11.98502190,281.90011093,-6.51093547,7.20079627,-6.51093547,293.04602874,48.41576874,11.78175398,22.20965370,11.78175398,4.73961302,9.81757210,22.20965370,9.81757210,41.79301311
0.37092211,-0.32821087,0.24575720,0.50550621,-0.49915027,0.49567301,0.49962061,294.79204370,12.83910060,7.69428733,12.83910060,280.64324960,-6.95250612,7.69428733,-6.95250612,292.57168462,48.47684287,11.87158414,22.28438770,11.87158414,4.76803251,9.84514751,22.28438770,9.84514751,41.16418782
0.37083028,-0.32821153,0.24576869,0.50551872,-0.49912696,0.49566236,0.49964180,294.44246992,13.69281298,8.18476308,13.69281298,279.39170770,-7.39065829,8.18476308,-7.39065829,292.10027383,48.53815051,11.96229954,22.35980332,11.96229954,4.79700755,9.87323065,22.35980332,9.87323065,40.53822609
0.37073450,-0.32820571,0.24578056,0.50553173,-0.49910248,0.49565134,0.49966402,294.09257683,14.54613944,8.67218038,14.54613944,278.14558532,-7.82533862,8.67218038,-7.82533862,291.63177867,48.59965647,12.05387680,22.43587848,12.05387680,4.82653834,9.90182083,22.43587848,9.90182083,39.91555300
0.37063500,-0.32819275,0.24579278,0.50554521,-0.49907686,0.49563998,0.49968724,293.74235932,15.39906016,9.15649644,15.39906016,276.90498306,-8.25649394,9.15649644,-8.25649394,291.16617941,48.66132386,12.14629088,22.51258966,12.14629088,4.85662431,9.93091665,22.51258966,9.93091665,39.29659915
0.37053203,-0.32817199,0.24580531,0.50555913,-0.49905013,0.49562832,0.49971141,293.39181199,16.25155518,9.63766882,16.25155518,275.67000196,-8.68407132,9.63766882,-8.68407132,290.70345429,48.72311403,12.23951507,22.58991187,12.23951507,4.88726417,9.96051601,22.58991187,9.96051601,38.68180004
0.37042582,-0.32814280,0.24581810,0.50557347,-0.49902233,0.49561638,0.49973652,293.04092910,17.10360432,10.11565549,17.10360432,274.44074351,-9.10801804,10.11565549,-9.10801804,290.24357952,48.78498660,12.33352096,22.66781863,12.33352096,4.91845579,9.99061601,22.66781863,9.99061601,38.07159542
0.37031662,-0.32810458,0.24583112,0.50558819,-0.49899348,0.49560420,0.49976252,292.68970461,17.95518724,10.59041484,17.95518724,273.21730963,-9.52828169,10.59041484,-9.52828169,289.78652931,48.84689936,12.42827838,22.74628197,12.42827838,4.95019619,10.02121300,22.74628197,10.02121300,37.46642858
0.37020466,-0.32805672,0.24584434,0.50560326,-0.49896362,0.49559179,0.49978938,292.33813214,18.80628339,11.06190572,18.80628339,271.99980263,-9.94481021,11.06190572,-9.94481021,289.33227586,48.90880829,12.52375539,22.82527233,12.52375539,4.98248150,10.05230248,22.82527233,10.05230248,36.86674568
0.37009015,-0.32799864,0.24585771,0.50561867,-0.49893276,0.49557921,0.49981708,291.98620493,19.65687204,11.53008749,19.65687204,270.78832519,-10.35755189,11.53008749,-10.35755189,288.88078942,48.97066754,12.61991824,22.90475863,12.61991824,5.01530695,10.08387908,22.90475863,10.08387908,36.27299498
0.36997332,-0.32792976,0.24587120,0.50563438,-0.49890095,0.49556646,0.49984558,291.63391588,20.50693229,11.99492002,20.50693229,269.58298035,-10.76645544,11.99492002,-10.76645544,288.43203827,49.03242937,12.71673133,22.98470814,12.71673133,5.04866676,10.11593653,22.98470814,10.11593653,35.68562605
0.36985437,-0.32784955,0.24588479,0.50565037,-0.49886820,0.49555358,0.49987485,291.28125751,21.35644303,12.45636374,21.35644303,268.38387148,-11.17147003,12.45636374,-11.17147003,287.98598878,49.09404415,12.81415721,23.06508656,12.81415721,5.08255418,10.14846764,23.06508656,10.14846764,35.10508900
0.36973352,-0.32775745,0.24589843,0.50566661,-0.49883455,0.49554060,0.49990488,290.92822194,22.20538296,12.91437968,22.20538296,267.19110226,-11.57254532,12.91437968,-11.57254532,287.54260545,49.15546034,12.91215654,23.14585792,12.91215654,5.11696137,10.18146423,23.14585792,10.18146423,34.53183361
0.36961093,-0.32765294,0.24591211,0.50568309,-0.49880001,0.49552753,0.49993562,290.57480089,23.05373059,13.36892948,23.05373059,266.00477667,-11.96963152,13.36892948,-11.96963152,287.10185093,49.21662448,13.01068805,23.22698460,13.01068805,5.15187945,10.21491712,23.22698460,10.21491712,33.96630847
0.36948681,-0.32753551,0.24592578,0.50569978,-0.49876462,0.49551441,0.49996706,290.22098567,23.90146422,13.81997544,23.90146422,264.82499893,-12.36267942,13.81997544,-12.36267942,286.66368607,49.27748116,13.10970854,23.30842732,13.10970854,5.18729838,10.24881608,23.30842732,10.24881608,33.40896013
0.36936130,-0.32740466,0.24593943,0.50571665,-0.49872839,0.49550127,0.49999916,289.86676715,24.74856197,14.26748055,24.74856197,263.65187354,-12.75164045,14.26748055,-12.75164045,286.22806999,49.33797302,13.20917286,23.39014509,13.20917286,5.22320698,10.28314983,23.39014509,10.28314983,32.86023215
0.36923458,-0.32725989,0.24595303,0.50573369,-0.49869135,0.49548811,0.50003191,289.51213575,25.59500173,14.71140849,25.59500173,262.48550520,-13.13646670,14.71140849,-13.13646670,285.79496011,49.39804073,13.30903388,23.47209522,13.30903388,5.25959284,10.31790597,23.47209522,10.31790597,32.32056422
0.36910677,-0.32710073,0.24596655,0.50575087,-0.49865352,0.49547497,0.50006527,289.15708143,26.44076119,15.15172371,26.44076119,261.32599884,-13.51711100,15.15172371,-13.51711100,285.36431222,49.45762297,13.40924250,23.55423331,13.40924250,5.29644236,10.35307095,23.55423331,10.35307095,31.79039118
0.36897800,-0.32692672,0.24597998,0.50576818,-0.49861492,0.49546188,0.50009923,288.80159369,27.28581782,15.58839143,27.28581782,260.17345956,-13.89352691,15.58839143,-13.89352691,284.93608055,49.51665647,13.50974762,23.63651325,13.50974762,5.33374063,10.38863006,23.63651325,10.38863006,31.27014206
