x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.70302678,0.92519384,2.99598116,0.92519384,10.89893857,14.34734593,2.99598116,14.34734593,31.18387530
0.37165876,-0.32793937,0.24565979,0.50540312,-0.49933289,0.49576353,0.49945257,299.74041814,-0.10122841,-0.09232711,-0.10122841,299.47914985,-0.40970281,-0.09232711,-0.40970281,299.91546208,0.70916109,0.94735091,2.98748363,0.94735091,10.82838835,14.31380612,2.98748363,14.31380612,30.92795296
0.37165509,-0.32793732,0.24565917,0.50540329,-0.49933250,0.49576511,0.49945123,299.48094036,-0.19947204,-0.18592123,-0.19947204,298.95753667,-0.81964337,-0.18592123,-0.81964337,299.83073622,0.71537849,0.96989700,2.97865312,0.96989700,10.75890126,14.27889256,2.97865312,14.27889256,30.67091793
0.37164904,-0.32793362,0.24565814,0.50540357,-0.49933185,0.49576770,0.49944903,299.22157431,-0.29469777,-0.28079462,-0.29469777,298.43512231,-1.22980473,-0.28079462,-1.22980473,299.74581226,0.72167938,0.99283668,2.96948202,0.99283668,10.69053151,14.24257267,2.96948202,14.24257267,30.41281710
0.37164068,-0.32792805,0.24565672,0.50540396,-0.49933094,0.49577129,0.49944597,298.96232781,-0.38687245,-0.37695949,-0.38687245,297.91186757,-1.64016943,-0.37695949,-1.64016943,299.66067977,0.72806415,1.01617446,2.95996268,1.01617446,10.62333407,14.20481359,2.95996268,14.20481359,30.15369876
0.37163008,-0.32792040,0.24565491,0.50540445,-0.49932979,0.49577585,0.49944210,298.70320883,-0.47596303,-0.47442804,-0.47596303,297.38773221,-2.05071953,-0.47442804,-2.05071953,299.57532803,0.73453315,1.03991478,2.95008739,1.03991478,10.55736464,14.16558217,2.95008739,14.16558217,29.89361261
0.37161729,-0.32791045,0.24565271,0.50540505,-0.49932840,0.49578134,0.49943743,298.44422552,-0.56193645,-0.57321242,-0.56193645,296.86267490,-2.46143658,-0.57321242,-2.46143658,299.48974607,0.74108668,1.06406200,2.93984841,1.06406200,10.49267964,14.12484505,2.93984841,14.12484505,29.63260977
0.37160236,-0.32789801,0.24565015,0.50540575,-0.49932677,0.49578776,0.49943198,298.18538621,-0.64475976,-0.67332474,-0.64475976,296.33665323,-2.87230164,-0.67332474,-2.87230164,299.40392260,0.74772502,1.08862044,2.92923794,1.08862044,10.42933617,14.08256859,2.92923794,14.08256859,29.37074274
0.37158537,-0.32788286,0.24564721,0.50540655,-0.49932490,0.49579507,0.49942578,297.92669940,-0.72440007,-0.77477707,-0.72440007,295.80962373,-3.28329525,-0.77477707,-3.28329525,299.31784609,0.75444843,1.11359430,2.91824817,1.11359430,10.36739198,14.03871899,2.91824817,14.03871899,29.10806543
0.37156637,-0.32786483,0.24564392,0.50540745,-0.49932281,0.49580325,0.49941883,297.66817376,-0.80082457,-0.87758142,-0.80082457,295.28154183,-3.69439745,-0.87758142,-3.69439745,299.23150469,0.76125709,1.13898772,2.90687126,1.13898772,10.30690545,13.99326223,2.90687126,13.99326223,28.84463314
0.37154541,-0.32784371,0.24564028,0.50540845,-0.49932050,0.49581228,0.49941118,297.40981816,-0.87400057,-0.98174974,-0.87400057,294.75236189,-4.10558775,-0.98174974,-4.10558775,299.14488629,0.76815118,1.16480473,2.89509934,1.16480473,10.24793553,13.94616412,2.89509934,13.94616412,28.58050255
0.37152255,-0.32781935,0.24563630,0.50540954,-0.49931797,0.49582213,0.49940282,297.15164165,-0.94389548,-1.08729392,-0.94389548,294.22203716,-4.51684516,-1.08729392,-4.51684516,299.05797849,0.77513081,1.19104926,2.88292453,1.19104926,10.19054173,13.89739033,2.88292453,13.89739033,28.31573171
0.37149784,-0.32779155,0.24563199,0.50541073,-0.49931522,0.49583278,0.49939379,296.89365347,-1.01047687,-1.19422578,-1.01047687,293.69051980,-4.92814815,-1.19422578,-4.92814815,298.97076860,0.78219606,1.21772513,2.87033894,1.21772513,10.13478405,13.84690642,2.87033894,13.84690642,28.05038003
0.37147134,-0.32776015,0.24562735,0.50541201,-0.49931226,0.49584422,0.49938410,296.63586307,-1.07371243,-1.30255707,-1.07371243,293.15776088,-5.33947469,-1.30255707,-5.33947469,298.88324363,0.78934696,1.24483605,2.85733467,1.24483605,10.08072299,13.79467783,2.85733467,13.79467783,27.78450826
0.37144310,-0.32772498,0.24562240,0.50541338,-0.49930910,0.49585641,0.49937377,296.37828006,-1.13357003,-1.41229944,-1.13357003,292.62371040,-5.75080220,-1.41229944,-5.75080220,298.79539032,0.79658350,1.27238559,2.84390385,1.27238559,10.02841944,13.74066994,2.84390385,13.74066994,27.51817849
0.37141318,-0.32768589,0.24561714,0.50541483,-0.49930574,0.49586934,0.49936282,296.12091428,-1.19001771,-1.52346448,-1.19001771,292.08831723,-6.16210758,-1.52346448,-6.16210758,298.70719512,0.80390560,1.30037721,2.83003860,1.30037721,9.97793469,13.68484808,2.83003860,13.68484808,27.25145411
0.37138161,-0.32764272,0.24561159,0.50541638,-0.49930218,0.49588299,0.49935126,295.86377578,-1.24302371,-1.63606366,-1.24302371,291.55152917,-6.57336720,-1.63606366,-6.57336720,298.61864418,0.81131315,1.32881420,2.81573106,1.32881420,9.92933037,13.62717756,2.81573106,13.62717756,26.98439981
