x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.39937651,0.53387843,0.24619100,0.50943231,-0.48096465,0.51552897,0.49333721,185.35450026,-107.65961747,38.05146346,-107.65961747,138.88424411,-35.35458927,38.05146346,-35.35458927,86.70631147,86.90947783,11.22471159,30.76623030,11.22471159,3.11575956,3.64354198,30.76623030,3.64354198,51.59276525
0.39620287,0.53898190,0.24617379,0.50935422,-0.48105807,0.51571666,0.49313056,184.18252832,-108.00998612,37.69115219,-108.00998612,138.78647872,-35.46547192,37.69115219,-35.46547192,86.65375446,88.61303125,13.28202191,31.36746506,13.28202191,3.90009893,4.34629801,31.36746506,4.34629801,51.39138085
0.39304799,0.54394241,0.24615263,0.50927643,-0.48115291,0.51590612,0.49292015,183.01734563,-108.34256273,37.32928299,-108.34256273,138.70083844,-35.57081419,37.32928299,-35.57081419,86.59810058,90.11840914,15.26438071,31.87973745,15.26438071,4.74517282,5.01783258,31.87973745,5.01783258,51.07960869
0.38991750,0.54876243,0.24612777,0.50919904,-0.48124923,0.51609722,0.49270598,181.86141073,-108.65579396,36.96726490,-108.65579396,138.62834772,-35.66961064,36.96726490,-35.66961064,86.53917825,91.42301895,17.16383849,32.30148696,17.16383849,5.63808050,5.65387475,32.30148696,5.65387475,50.65881777
0.38681631,0.55344434,0.24609959,0.50912211,-0.48134707,0.51628985,0.49248804,180.71706618,-108.94825199,36.60645791,-108.94825199,138.56977928,-35.76096213,36.60645791,-35.76096213,86.47671203,92.52633306,18.97396567,32.63220359,18.97396567,6.56704759,6.25087519,32.63220359,6.25087519,50.13155276
0.38374865,0.55799043,0.24606858,0.50904573,-0.48144648,0.51648386,0.49226634,179.58651858,-109.21864543,36.24815935,-109.21864543,138.52563365,-35.84409095,36.24815935,-35.84409095,86.41031204,93.42981222,20.68980096,32.87239582,20.68980096,7.52146237,6.80600086,32.87239582,6.80600086,49.50150254
0.38071817,0.56240285,0.24603532,0.50896998,-0.48154751,0.51667912,0.49204090,178.47182079,-109.46582884,35.89359167,-109.46582884,138.49612340,-35.91835401,35.89359167,-35.91835401,86.33946604,94.13680437,22.30777794,33.02354401,22.30777794,8.49187638,7.31711698,33.02354401,7.31711698,48.77344899
0.37772801,0.56668365,0.24600047,0.50889492,-0.48165020,0.51687550,0.49181171,177.37485641,-109.68881049,35.54389165,-109.68881049,138.48116257,-35.98325347,35.54389165,-35.98325347,86.26353455,94.65242174,23.82563505,33.08804080,23.82563505,9.46997598,7.78275865,33.08804080,7.78275865,47.95319644
0.37478085,0.57083476,0.24596476,0.50882063,-0.48175459,0.51707286,0.49157882,176.29732663,-109.88675857,35.20010131,-109.88675857,138.48036138,-36.03844482,35.20010131,-36.03844482,86.18174932,94.98339913,25.24231360,33.06911984,25.24231360,10.44853111,8.20209428,33.06911984,8.20209428,47.04748225
0.37187899,0.57485806,0.24592892,0.50874717,-0.48186074,0.51727107,0.49134223,175.24073979,-110.05900553,34.86316043,-110.05900553,138.49302679,-36.08374210,34.86316043,-36.08374210,86.09321557,95.13793595,26.55784806,32.97077453,26.55784806,11.42132737,8.57488266,32.97077453,8.57488266,46.06386975
0.36902441,0.57875544,0.24589364,0.50867460,-0.48196869,0.51746998,0.49110197,174.20640350,-110.20505073,34.53390098,-110.20505073,138.51816903,-36.11911998,34.53390098,-36.11911998,85.99691795,95.12552447,27.77325194,32.79766794,27.77325194,12.38308686,8.90142546,32.79766794,8.90142546,45.01062496
0.36621885,0.58252881,0.24585960,0.50860299,-0.48207847,0.51766947,0.49085809,173.19541967,-110.32456104,34.21304335,-110.32456104,138.55451411,-36.14471278,34.21304335,-36.14471278,85.89173043,94.95676698,28.89040231,32.55503583,28.89040231,13.32938260,9.18251649,32.55503583,9.18251649,43.89657956
0.36346385,0.58618018,0.24582734,0.50853240,-0.48219013,0.51786940,0.49061061,172.20868239,-110.41736947,33.90119447,-110.41736947,138.60052233,-36.16081019,33.90119447,-36.16081019,85.77642984,94.64318442,29.91192522,32.24858421,29.91192522,14.25655056,9.41938888,32.24858421,9.41938888,42.73098276
0.36076078,0.58971171,0.24579732,0.50846287,-0.48230370,0.51806963,0.49035958,171.24687879,-110.48347171,33.59884777,-110.48347171,138.65441259,-36.16784984,33.59884777,-36.16784984,85.64971275,94.19701947,30.84108383,31.88438338,30.84108383,15.16160262,9.61366107,31.88438338,9.61366107,41.52334578
0.35811093,0.59312573,0.24576987,0.50839446,-0.48241923,0.51827003,0.49010503,170.31049261,-110.52302061,33.30638498,-110.52302061,138.71419192,-36.16640683,33.30638498,-36.16640683,85.51021545,93.63103724,31.68167062,31.46876057,31.68167062,16.04214308,9.76728253,31.46876057,9.76728253,40.28328271
0.35551546,0.59642476,0.24574517,0.50832722,-0.48253674,0.51847048,0.48984701,169.39981070,-110.53631860,33.02407953,-110.53631860,138.77768973,-36.15718045,33.02407953,-36.15718045,85.35653620,92.95832687,32.43790476,31.00819298,32.43790476,16.89629042,9.88247967,31.00819298,9.88247967,39.02035236
0.35297549,0.59961153,0.24572326,0.50826119,-0.48265627,0.51867085,0.48958557,168.51493188,-110.52380818,32.75210162,-110.52380818,138.84259582,-36.14097844,32.75210162,-36.14097844,85.18725923,92.19210771,33.11433527,30.50920384,33.11433527,17.72260585,9.96170268,30.50920384,9.96170268,37.74390533
0.35049203,0.60268899,0.24570409,0.50819642,-0.48277785,0.51887103,0.48932075,167.65577827,-110.48606069,32.49052450,-110.48606069,138.90650132,-36.11869925,32.49052450,-36.11869925,85.00097957,91.34554358,33.71575069,29.97826327,33.71575069,18.52002907,10.00757379,29.97826327,10.00757379,36.46294102
0.34806598,0.60566022,0.24568747,0.50813295,-0.48290151,0.51907088,0.48905261,166.82210846,-110.42376347,32.23933198,-110.42376347,138.96694119,-36.09131281,32.23933198,-36.09131281,84.79632812,90.43156870,34.24709565,29.42169626,34.24709565,19.28782179,10.02283738,29.42169626,10.02283738,35.18597842
0.34569812,0.60852845,0.24567315,0.50807081,-0.48302727,0.51927030,0.48878120,166.01353231,-110.33770594,31.99842675,-110.33770594,139.02143725,-36.05984042,31.99842675,-36.05984042,84.57199583,89.46272857,34.71339449,28.84559952,34.71339449,20.02551867,10.01031264,28.84559952,10.01031264,33.92094427
0.34338906,0.61129699,0.24566084,0.50801005,-0.48315516,0.51946917,0.48850657,165.22952697,-110.22876466,31.76763939,-110.22876466,139.06754044,-36.02533424,31.76763939,-36.02533424,84.32675650,88.45103858,35.11968238,28.25576883,35.11968238,20.73288545,9.97284902,28.25576883,9.97284902,32.67508145
0.34113918,0.61396915,0.24565021,0.50795069,-0.48328519,0.51966738,0.48822877,164.46945362,-110.09788795,31.54673771,-110.09788795,139.10287108,-35.98885717,31.54673771,-35.98885717,84.05948720,87.40786269,35.47094397,27.65763797,35.47094397,21.40988354,9.91328512,27.65763797,9.91328512,31.45487917
0.33894864,0.61654821,0.24564096,0.50789276,-0.48341739,0.51986484,0.48794786,163.73257457,-109.94608036,31.33543616,-109.94608036,139.12515609,-35.95146357,31.33543616,-35.95146357,83.76918608,86.34381379,35.77205965,27.05623013,35.77205965,22.05664050,9.83441140,27.05623013,9.83441140,30.26602595
0.33681732,0.61903737,0.24563282,0.50783630,-0.48355177,0.52006145,0.48766389,163.01807025,-109.77438731,31.13340525,-109.77438731,139.13226213,-35.91418131,31.13340525,-35.91418131,83.45498668,85.26867654,36.02775951,26.45612187,36.02775951,22.67342542,9.73893706,26.45612187,9.73893706,29.11338514
0.33474484,0.62143969,0.24562553,0.50778132,-0.48368835,0.52025710,0.48737692,162.32505586,-109.58388041,30.94028046,-109.58388041,139.12222399,-35.87799575,30.94028046,-35.87799575,83.11616887,84.19135281,36.24258479,25.86141975,36.24258479,23.26062855,9.62946134,25.86141975,9.62946134,28.00099188
0.33273053,0.62375804,0.24561892,0.50772786,-0.48382713,0.52045171,0.48708700,161.65259715,-109.37564349,30.75567080,-109.37564349,139.09326766,-35.84383578,30.75567080,-35.84383578,82.75216598,83.11982906,36.42085674,25.27574879,36.42085674,23.81874429,9.50844949,25.27574879,9.50844949,26.93206956
0.33077347,0.62599515,0.24561285,0.50767593,-0.48396813,0.52064518,0.48679420,160.99972527,-109.15075993,30.57916670,-109.15075993,139.04382770,-35.81256229,30.57916670,-35.81256229,82.36256824,82.06116432,36.56665259,24.70225190,36.56665259,24.34835688,9.37821354,24.70225190,9.37821354,25.90906323
0.32887251,0.62815353,0.24560724,0.50762556,-0.48411134,0.52083744,0.48649856,160.36545036,-108.91030115,30.41034706,-108.91030115,138.97255903,-35.78495922,30.41034706,-35.78495922,81.94712274,81.02149695,36.68378815,24.14359916,36.68378815,24.85012818,9.24089761,24.14359916,9.24089761,24.93368703
0.32702634,0.63023555,0.24560204,0.50757677,-0.48425679,0.52102841,0.48620014,159.74877382,-108.65531664,30.24878567,-108.65531664,138.87834303,-35.76172700,30.24878567,-35.76172700,81.50573012,80.00606775,36.77580676,23.60200531,36.77580676,25.32478690,9.09846789,23.60200531,9.09846789,24.00698247
0.32523348,0.63224336,0.24559725,0.50752957,-0.48440446,0.52121801,0.48589901,159.14869908,-108.38682546,30.09405665,-108.38682546,138.76028847,-35.74347866,30.09405665,-35.74347866,81.03843836,79.01925704,36.84597382,23.07925411,36.84597382,25.77311899,8.95270680,23.07925411,8.95270680,23.12938428
0.32349235,0.63417899,0.24559287,0.50748398,-0.48455435,0.52140616,0.48559520,158.56424094,-108.10580927,29.94573919,-108.10580927,138.61772777,-35.73073802,29.94573919,-35.73073802,80.54543420,78.06463287,36.89727639,22.57672788,36.89727639,26.19595886,8.80521115,22.57672788,8.80521115,22.30079085
0.32180130,0.63604435,0.24558891,0.50744001,-0.48470647,0.52159281,0.48528879,157.99443350,-107.81320687,29.80342136,-107.81320687,138.45020895,-35.72394014,29.80342136,-35.72394014,80.02703250,77.14500773,36.93242727,22.09544077,36.93242727,26.59418108,8.65739371,22.09544077,8.65739371,21.52063646
0.32015865,0.63784121,0.24558540,0.50739769,-0.48486081,0.52177788,0.48497983,157.43833663,-107.50991011,29.66670333,-107.50991011,138.25748428,-35.72343347,29.66670333,-35.72343347,79.48366425,76.26250118,36.95387264,21.63607431,36.95387264,26.96869257,8.51048790,21.63607431,8.51048790,20.78796290
0.31856271,0.63957126,0.24558233,0.50735701,-0.48501736,0.52196131,0.48466836,156.89504116,-107.19676113,29.53519975,-107.19676113,138.03949608,-35.72948361,29.53519975,-35.72948361,78.91586351,75.41860600,36.96380287,21.19901403,36.96380287,27.32042511,8.36555497,21.19901403,8.36555497,20.10148843
0.31701178,0.64123612,0.24557972,0.50731799,-0.48517612,0.52214304,0.48435445,156.36367293,-106.87455076,29.40854156,-106.87455076,137.79636049,-35.74227821,29.40854156,-35.74227821,78.32425381,74.61425578,36.96416561,20.78438595,36.96416561,27.65032815,8.22349317,20.78438595,8.22349317,19.45967266
