x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.28990666,0.66906259,0.24418245,0.50375413,-0.51920929,0.49044439,0.48591954,849.89949880,-4.62020562,5.22819525,-4.62020562,718.68674060,-5.44571834,5.22819525,-5.44571834,809.04295894,1.72416797,2.56225532,-2.59803229,2.56225532,9.24971892,-3.29332725,-2.59803229,-3.29332725,8.88577317
0.28987820,0.66908635,0.24418495,0.50375513,-0.51921754,0.49043288,0.48592129,849.98421073,-4.61968933,5.22962642,-4.61968933,718.75314976,-5.45077625,5.22962642,-5.45077625,809.11602476,1.71922765,2.56435474,-2.59110975,2.56435474,9.24671102,-3.29527252,-2.59110975,-3.29527252,8.87070259
0.28984977,0.66911007,0.24418744,0.50375614,-0.51922579,0.49042136,0.48592306,850.06892428,-4.61916835,5.23106225,-4.61916835,718.81957556,-5.45582297,5.23106225,-5.45582297,809.18909284,1.71428726,2.56643556,-2.58418217,2.56643556,9.24377445,-3.29721592,-2.58418217,-3.29721592,8.85559773
0.28982137,0.66913374,0.24418993,0.50375715,-0.51923403,0.49040984,0.48592483,850.15363938,-4.61864273,5.23250271,-4.61864273,718.88601794,-5.46085853,5.23250271,-5.46085853,809.26216309,1.70934692,2.56849774,-2.57724973,2.56849774,9.24090955,-3.29915726,-2.57724973,-3.29915726,8.84045914
0.28979299,0.66915735,0.24419242,0.50375815,-0.51924228,0.49039832,0.48592661,850.23835599,-4.61811250,5.23394777,-4.61811250,718.95247687,-5.46588295,5.23394777,-5.46588295,809.33523541,1.70440673,2.57054119,-2.57031262,2.57054119,9.23811665,-3.30109636,-2.57031262,-3.30109636,8.82528735
0.28976465,0.66918092,0.24419490,0.50375915,-0.51925053,0.49038679,0.48592839,850.32307404,-4.61757770,5.23539739,-4.61757770,719.01895232,-5.47089627,5.23539739,-5.47089627,809.40830969,1.69946682,2.57256584,-2.56337105,2.57256584,9.23539608,-3.30303305,-2.56337105,-3.30303305,8.81008289
0.28973634,0.66920444,0.24419739,0.50376015,-0.51925878,0.49037525,0.48593019,850.40779349,-4.61703837,5.23685154,-4.61703837,719.08544425,-5.47589851,5.23685154,-5.47589851,809.48138584,1.69452729,2.57457163,-2.55642519,2.57457163,9.23274816,-3.30496713,-2.55642519,-3.30496713,8.79484629
0.28970805,0.66922790,0.24419987,0.50376115,-0.51926702,0.49036371,0.48593198,850.49251427,-4.61649455,5.23831020,-4.61649455,719.15195261,-5.48088971,5.23831020,-5.48088971,809.55446375,1.68958825,2.57655850,-2.54947524,2.57655850,9.23017323,-3.30689845,-2.54947524,-3.30689845,8.77957810
0.28967980,0.66925132,0.24420235,0.50376215,-0.51927527,0.49035217,0.48593379,850.57723635,-4.61594628,5.23977333,-4.61594628,719.21847737,-5.48586989,5.23977333,-5.48586989,809.62754332,1.68464981,2.57852637,-2.54252139,2.57852637,9.22767160,-3.30882682,-2.54252139,-3.30882682,8.76427884
0.28965157,0.66927468,0.24420483,0.50376315,-0.51928351,0.49034061,0.48593560,850.66195965,-4.61539360,5.24124090,-4.61539360,719.28501850,-5.49083909,5.24124090,-5.49083909,809.70062445,1.67971210,2.58047519,-2.53556382,2.58047519,9.22524358,-3.31075206,-2.53556382,-3.31075206,8.74894904
0.28962338,0.66929800,0.24420731,0.50376414,-0.51929176,0.49032906,0.48593742,850.74668413,-4.61483654,5.24271288,-4.61483654,719.35157595,-5.49579733,5.24271288,-5.49579733,809.77370703,1.67477521,2.58240489,-2.52860272,2.58240489,9.22288948,-3.31267401,-2.52860272,-3.31267401,8.73358923
0.28959521,0.66932127,0.24420978,0.50376514,-0.51930000,0.49031750,0.48593924,850.83140974,-4.61427515,5.24418923,-4.61427515,719.41814968,-5.50074465,5.24418923,-5.50074465,809.84679097,1.66983926,2.58431541,-2.52163828,2.58431541,9.22060961,-3.31459248,-2.52163828,-3.31459248,8.71819994
0.28956708,0.66934449,0.24421226,0.50376613,-0.51930824,0.49030593,0.48594107,850.91613641,-4.61370946,5.24566994,-4.61370946,719.48473966,-5.50568108,5.24566994,-5.50568108,809.91987617,1.66490436,2.58620669,-2.51467069,2.58620669,9.21840427,-3.31650731,-2.51467069,-3.31650731,8.70278169
