x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29244243,0.51139413,0.24567607,0.49963318,-0.36661455,0.47641521,0.62368983,164.36779068,39.05691815,-17.12634701,39.05691815,187.67493630,118.09809263,-17.12634701,118.09809263,99.13907458,32.60391224,-19.60720173,0.39975429,-19.60720173,12.57242686,1.68183619,0.39975429,1.68183619,65.33310001
0.29239716,0.51252817,0.24566645,0.49965166,-0.36605280,0.47673678,0.62375925,163.56750562,38.66310120,-16.92833733,38.66310120,187.61732601,118.28245663,-16.92833733,118.28245663,99.16375202,33.00835228,-19.68173437,0.20951005,-19.68173437,12.50091189,1.75708812,0.20951005,1.75708812,64.94923827
0.29235204,0.51365976,0.24565671,0.49967046,-0.36549051,0.47705993,0.62382685,162.76692660,38.27156621,-16.72800564,38.27156621,187.56025332,118.46778531,-16.72800564,118.46778531,99.19087072,33.40715506,-19.74843732,0.01458757,-19.74843732,12.42399798,1.83412365,0.01458757,1.83412365,64.56840136
0.29230706,0.51478897,0.24564686,0.49968956,-0.36492769,0.47738466,0.62389263,161.96609730,37.88244631,-16.52543241,37.88244631,187.50374495,118.65404584,-16.52543241,118.65404584,99.22031167,33.80013831,-19.80722996,-0.18496521,-19.80722996,12.34172789,1.91281953,-0.18496521,1.91281953,64.19060355
0.29226223,0.51591583,0.24563688,0.49970896,-0.36436435,0.47771098,0.62395657,161.16506145,37.49587477,-16.32069834,37.49587477,187.44782412,118.84120385,-16.32069834,118.84120385,99.25195979,34.18712472,-19.85803914,-0.38909686,-19.85803914,12.25415204,1.99304975,-0.38909686,1.99304975,63.81586014
0.29221756,0.51704040,0.24562679,0.49972866,-0.36380050,0.47803888,0.62401867,160.36386282,37.11198488,-16.11388435,37.11198488,187.39251046,119.02922349,-16.11388435,119.02922349,99.28570377,34.56794191,-19.90079919,-0.59775238,-19.90079919,12.16132846,2.07468567,-0.59775238,2.07468567,63.44418757
0.29217308,0.51816271,0.24561659,0.49974865,-0.36323615,0.47836836,0.62407893,159.56254523,36.73090997,-15.90507152,36.73090997,187.33781983,119.21806758,-15.90507152,119.21806758,99.32143593,34.94242235,-19.93545200,-0.81087315,-19.93545200,12.06332275,2.15759613,-0.81087315,2.15759613,63.07560346
0.29212879,0.51928280,0.24560629,0.49976893,-0.36267129,0.47869942,0.62413734,158.76115251,36.35278321,-15.69434104,36.35278321,187.28376421,119.40769767,-15.69434104,119.40769767,99.35905207,35.31040327,-19.96194700,-1.02839689,-19.96194700,11.96020794,2.24164755,-1.02839689,2.24164755,62.71012669
0.29208472,0.52040072,0.24559587,0.49978949,-0.36210596,0.47903207,0.62419389,157.95972854,35.97773762,-15.48177420,35.97773762,187.23035160,119.59807412,-15.48177420,119.59807412,99.39845127,35.67172660,-19.98024123,-1.25025763,-19.98024123,11.85206449,2.32670413,-1.25025763,2.32670413,62.34777741
0.29204089,0.52151650,0.24558536,0.49981033,-0.36154014,0.47936631,0.62424860,157.15831720,35.60590594,-15.26745230,35.60590594,187.17758590,119.78915623,-15.26745230,119.78915623,99.43953578,36.02623886,-19.99029933,-1.47638559,-19.99029933,11.73898012,2.41262793,-1.47638559,2.41262793,61.98857710
