x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.35641450,0.54284636,0.29897751,-0.06337444,0.01263250,0.00135917,126.88602344,-67.30435423,-22.87636602,-67.30435423,124.16909574,90.78566251,-22.87636602,90.78566251,148.30382950,0.06585403,-0.23859596,-0.08151439,-0.23859596,7.28823809,7.01208705,-0.08151439,7.01208705,33.60824588
0.35578326,0.54297208,0.29899102,-0.06287274,0.01251284,0.00134349,126.76674251,-67.42139573,-23.00444695,-67.42139573,123.53703001,91.03170962,-23.00444695,91.03170962,148.26981624,0.08759253,-0.37412159,-0.12963583,-0.37412159,7.54928794,7.16703280,-0.12963583,7.16703280,33.32255429
0.35515704,0.54309662,0.29900438,-0.06237289,0.01239621,0.00132766,126.64983153,-67.53564310,-23.13363349,-67.53564310,122.90510921,91.28028833,-23.13363349,91.28028833,148.23260539,0.11895663,-0.51588129,-0.18122829,-0.51588129,7.81763078,7.32238223,-0.18122829,7.32238223,33.02904776
0.35453581,0.54322000,0.29901758,-0.06187470,0.01228257,0.00131169,126.53528523,-67.64710345,-23.26382842,-67.64710345,122.27338992,91.53138464,-23.26382842,91.53138464,148.19226672,0.16024320,-0.66400133,-0.23639526,-0.66400133,8.09338084,7.47805158,-0.23639526,7.47805158,32.72797065
0.35391955,0.54334227,0.29903061,-0.06137798,0.01217184,0.00129558,126.42309755,-67.75578463,-23.39493604,-67.75578463,121.64192750,91.78498311,-23.39493604,91.78498311,148.14887232,0.21174743,-0.81860609,-0.29523953,-0.81860609,8.37664949,7.63395569,-0.29523953,7.63395569,32.41958246
0.35330825,0.54346344,0.29904349,-0.06088256,0.01206395,0.00127932,126.31326170,-67.86169528,-23.52686220,-67.86169528,121.01077604,92.04106690,-23.52686220,92.04106690,148.10249640,0.27376233,-0.97981783,-0.35786297,-0.97981783,8.66754495,7.79000806,-0.35786297,7.79000806,32.10415733
0.35270190,0.54358355,0.29905620,-0.06038829,0.01195883,0.00126292,126.20577019,-67.96484485,-23.65951439,-67.96484485,120.37998824,92.29961784,-23.65951439,92.29961784,148.05321509,0.34657816,-1.14775638,-0.42436637,-1.14775638,8.96617203,7.94612099,-0.42436637,7.94612099,31.78198343
0.35210048,0.54370262,0.29906875,-0.05989500,0.01185638,0.00124639,126.10061481,-68.06524362,-23.79280176,-68.06524362,119.74961545,92.56061645,-23.79280176,92.56061645,148.00110618,0.43048189,-1.32253891,-0.49484921,-1.32253891,9.27263182,8.10220567,-0.49484921,8.10220567,31.45336239
0.35150400,0.54382067,0.29908113,-0.05940258,0.01175651,0.00122971,125.99778664,-68.16290270,-23.92663518,-68.16290270,119.11970753,92.82404197,-23.92663518,92.82404197,147.94624898,0.52575663,-1.50427960,-0.56940946,-1.50427960,9.58702145,8.25817229,-0.56940946,8.25817229,31.11860862
0.35091243,0.54393775,0.29909334,-0.05891089,0.01165911,0.00121291,125.89727612,-68.25783409,-24.06092729,-68.25783409,118.49031285,93.08987245,-24.06092729,93.08987245,147.88872407,0.63268109,-1.69308937,-0.64814335,-1.69308937,9.90943372,8.41393017,-0.64814335,8.41393017,30.77804865
0.35032578,0.54405386,0.29910538,-0.05841983,0.01156406,0.00119597,125.79907302,-68.35005066,-24.19559254,-68.35005066,117.86147821,93.35808475,-24.19559254,93.35808475,147.82861312,0.75152891,-1.88907559,-0.73114517,-1.88907559,10.23995688,8.56938790,-0.73114517,8.56938790,30.43202046
0.34974403,0.54416903,0.29911726,-0.05792931,0.01147125,0.00117890,125.70316648,-68.43956617,-24.33054724,-68.43956617,117.23324884,93.62865461,-24.33054724,93.62865461,147.76599872,0.88256814,-2.09234181,-0.81850709,-2.09234181,10.57867431,8.72445343,-0.81850709,8.72445343,30.08087269
0.34916719,0.54428328,0.29912896,-0.05743925,0.01138053,0.00116171,125.60954503,-68.52639532,-24.46570959,-68.52639532,116.60566832,93.90155667,-24.46570959,93.90155667,147.70096419,1.02606062,-2.30298743,-0.91031885,-2.30298743,10.92566424,8.87903424,-0.91031885,8.87903424,29.72496396
0.34859525,0.54439664,0.29914049,-0.05694958,0.01129178,0.00114441,125.51819658,-68.61055375,-24.60099974,-68.61055375,115.97877858,94.17676454,-24.60099974,94.17676454,147.63359340,1.18226134,-2.52110743,-1.00666763,-2.52110743,11.28099942,9.03303744,-1.00666763,9.03303744,29.36466201
0.34802820,0.54450912,0.29915185,-0.05646026,0.01120485,0.00112700,125.42910852,-68.69205803,-24.73633980,-68.69205803,115.35261982,94.45425081,-24.73633980,94.45425081,147.56397063,1.35141784,-2.74679208,-1.10763777,-2.74679208,11.64474690,9.18636997,-1.10763777,9.18636997,29.00034298
0.34746604,0.54462074,0.29916303,-0.05597126,0.01111957,0.00110949,125.34226764,-68.77092570,-24.87165390,-68.77092570,114.72723053,94.73398713,-24.87165390,94.73398713,147.49218036,1.53376963,-2.98012663,-1.21331061,-2.98012663,12.01696771,9.33893869,-1.21331061,9.33893869,28.63239054
0.34690877,0.54473151,0.29917404,-0.05548255,0.01103580,0.00109190,125.25766025,-68.84717529,-25.00686819,-68.84717529,114.10264745,95.01594421,-25.00686819,95.01594421,147.41830718,1.72954753,-3.22119104,-1.32376418,-3.22119104,12.39771658,9.49065054,-1.32376418,9.49065054,28.26119509
0.34635639,0.54484145,0.29918487,-0.05499412,0.01095336,0.00107422,125.17527214,-68.92082631,-25.14191092,-68.92082631,113.47890551,95.30009188,-25.14191092,95.30009188,147.34243561,1.93897308,-3.47005968,-1.43907308,-3.47005968,12.78704168,9.64141272,-1.43907308,9.64141272,27.88715286
0.34580889,0.54495058,0.29919552,-0.05450599,0.01087209,0.00105649,125.09508865,-68.99189925,-25.27671241,-68.99189925,112.85603789,95.58639914,-25.27671241,95.58639914,147.26464995,2.16225795,-3.72680108,-1.55930818,-3.72680108,13.18498435,9.79113281,-1.55930818,9.79113281,27.51066511
0.34526627,0.54505889,0.29920600,-0.05401817,0.01079182,0.00103871,125.01709467,-69.06041565,-25.41120512,-69.06041565,112.23407592,95.87483421,-25.41120512,95.87483421,147.18503418,2.39960333,-3.99147761,-1.68453649,-3.99147761,13.59157884,9.93971893,-1.68453649,9.93971893,27.13213722
0.34472853,0.54516641,0.29921630,-0.05353069,0.01071238,0.00102089,124.94127466,-69.12639802,-25.54532366,-69.12639802,111.61304912,96.16536451,-25.54532366,96.16536451,147.10367181,2.65119930,-4.26414527,-1.81482087,-4.26414527,14.00685208,10.08707992,-1.81482087,10.08707992,26.75197782
0.34419566,0.54527314,0.29922642,-0.05304359,0.01063360,0.00100306,124.86761271,-69.18986991,-25.67900477,-69.18986991,110.99298519,96.45795677,-25.67900477,96.45795677,147.02064578,2.91722433,-4.54485337,-1.95021989,-4.54485337,14.43082342,10.23312547,-1.95021989,10.23312547,26.37059790
0.34366766,0.54537908,0.29923636,-0.05255693,0.01055530,0.00098524,124.79609255,-69.25085588,-25.81218743,-69.25085588,110.37391000,96.75257704,-25.81218743,96.75257704,146.93603834,3.19784467,-4.83364433,-2.09078758,-4.83364433,14.86350443,10.37776628,-2.09078758,10.37776628,25.98840992
0.34314452,0.54548425,0.29924612,-0.05207074,0.01047731,0.00096744,124.72669760,-69.30938153,-25.94481276,-69.30938153,109.75584756,97.04919072,-25.94481276,97.04919072,146.84993096,3.49321379,-5.13055341,-2.23657329,-5.13055341,15.30489865,10.52091423,-2.23657329,10.52091423,25.60582696
0.34262624,0.54558863,0.29925571,-0.05158512,0.01039949,0.00094969,124.65941094,-69.36547346,-26.07682414,-69.36547346,109.13882008,97.34776262,-26.07682414,97.34776262,146.76240421,3.80347189,-5.43560849,-2.38762146,-5.43560849,15.75500142,10.66248254,-2.38762146,10.66248254,25.22326177
0.34211282,0.54569224,0.29926512,-0.05110012,0.01032165,0.00093200,124.59421543,-69.41915931,-26.20816714,-69.41915931,108.52284794,97.64825699,-26.20816714,97.64825699,146.67353767,4.12874535,-5.74882986,-2.54397148,-5.74882986,16.21379969,10.80238589,-2.54397148,10.80238589,24.84112594
