x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.32049301,0.69171019,0.29825700,-0.01716878,0.04677084,-0.00153712,202.97654710,-27.14745089,-27.66612854,-27.14745089,172.94035525,-10.34831326,-27.66612854,-10.34831326,73.60618767,1.34518969,-1.82808512,1.42694873,-1.82808512,47.53942507,-10.29614157,1.42694873,-10.29614157,3.45292364
0.32047583,0.69175695,0.29825546,-0.01719224,0.04674591,-0.00153366,202.98103533,-27.17375032,-27.66153759,-27.17375032,172.91997292,-10.34032977,-27.66153759,-10.34032977,73.60139465,1.34293813,-1.82073773,1.42507584,-1.82073773,47.56406698,-10.34978992,1.42507584,-10.34978992,3.46608488
0.32045862,0.69180369,0.29825393,-0.01721580,0.04672099,-0.00153013,202.98549407,-27.20005623,-27.65692617,-27.20005623,172.89964944,-10.33232103,-27.65692617,-10.33232103,73.59657977,1.34067535,-1.81335754,1.42315487,-1.81335754,47.58876312,-10.40356556,1.42315487,-10.40356556,3.47950182
0.32044139,0.69185039,0.29825240,-0.01723947,0.04669609,-0.00152654,202.98992320,-27.22636859,-27.65229435,-27.22636859,172.87938478,-10.32428713,-27.65229435,-10.32428713,73.59174268,1.33840140,-1.80594482,1.42118604,-1.80594482,47.61351447,-10.45746924,1.42118604,-10.45746924,3.49317833
0.32042414,0.69189708,0.29825088,-0.01726325,0.04667119,-0.00152288,202.99432262,-27.25268739,-27.64764221,-27.25268739,172.85917890,-10.31622818,-27.64764221,-10.31622818,73.58688301,1.33611635,-1.79849985,1.41916959,-1.79849985,47.63832201,-10.51150169,1.41916959,-10.51150169,3.50711829
0.32040687,0.69194374,0.29824935,-0.01728712,0.04664630,-0.00151916,202.99869222,-27.27901261,-27.64296983,-27.27901261,172.83903179,-10.30814429,-27.64296983,-10.30814429,73.58200040,1.33382027,-1.79102290,1.41710573,-1.79102290,47.66318673,-10.56566368,1.41710573,-10.56566368,3.52132555
0.32038957,0.69199037,0.29824784,-0.01731110,0.04662143,-0.00151537,203.00303189,-27.30534425,-27.63827727,-27.30534425,172.81894341,-10.30003557,-27.63827727,-10.30003557,73.57709449,1.33151322,-1.78351424,1.41499470,-1.78351424,47.68810962,-10.61995596,1.41499470,-10.61995596,3.53580403
0.32037224,0.69203698,0.29824632,-0.01733516,0.04659658,-0.00151152,203.00734152,-27.33168228,-27.63356461,-27.33168228,172.79891372,-10.29190212,-27.63356461,-10.29190212,73.57216491,1.32919526,-1.77597417,1.41283672,-1.77597417,47.71309168,-10.67437927,1.41283672,-10.67437927,3.55055767
0.32035490,0.69208356,0.29824481,-0.01735932,0.04657174,-0.00150760,203.01162101,-27.35802669,-27.62883192,-27.35802669,172.77894270,-10.28374404,-27.62883192,-10.28374404,73.56721126,1.32686645,-1.76840297,1.41063206,-1.76840297,47.73813390,-10.72893440,1.41063206,-10.72893440,3.56559045
0.32033753,0.69213012,0.29824331,-0.01738356,0.04654692,-0.00150362,203.01587025,-27.38437746,-27.62407928,-27.38437746,172.75903031,-10.27556143,-27.62407928,-10.27556143,73.56223317,1.32452687,-1.76080093,1.40838093,-1.76080093,47.76323729,-10.78362209,1.40838093,-10.78362209,3.58090635
0.32032013,0.69217666,0.29824181,-0.01740788,0.04652211,-0.00149958,203.02008913,-27.41073457,-27.61930676,-27.41073457,172.73917652,-10.26735440,-27.61930676,-10.26735440,73.55723027,1.32217658,-1.75316834,1.40608360,-1.75316834,47.78840285,-10.83844313,1.40608360,-10.83844313,3.59650933
0.32030271,0.69222317,0.29824031,-0.01743228,0.04649733,-0.00149548,203.02427753,-27.43709800,-27.61451444,-27.43709800,172.71938129,-10.25912305,-27.61451444,-10.25912305,73.55220217,1.31981565,-1.74550548,1.40374029,-1.74550548,47.81363159,-10.89339827,1.40374029,-10.89339827,3.61240338
0.32028527,0.69226965,0.29823882,-0.01745676,0.04647257,-0.00149132,203.02843536,-27.46346775,-27.60970239,-27.46346775,172.69964459,-10.25086748,-27.60970239,-10.25086748,73.54714850,1.31744414,-1.73781265,1.40135125,-1.73781265,47.83892451,-10.94848827,1.40135125,-10.94848827,3.62859247
0.32026780,0.69231611,0.29823733,-0.01748131,0.04644784,-0.00148710,203.03256251,-27.48984378,-27.60487069,-27.48984378,172.67996639,-10.24258779,-27.60487069,-10.24258779,73.54206888,1.31506213,-1.73009012,1.39891673,-1.73009012,47.86428260,-11.00371391,1.39891673,-11.00371391,3.64508058
0.32025030,0.69236255,0.29823584,-0.01750592,0.04642312,-0.00148282,203.03665885,-27.51622609,-27.60001941,-27.51622609,172.66034664,-10.23428409,-27.60001941,-10.23428409,73.53696292,1.31266966,-1.72233819,1.39643695,-1.72233819,47.88970688,-11.05907595,1.39643695,-11.05907595,3.66187167
0.32023278,0.69240896,0.29823436,-0.01753061,0.04639843,-0.00147848,203.04072430,-27.54261465,-27.59514863,-27.54261465,172.64078533,-10.22595648,-27.59514863,-10.22595648,73.53183025,1.31026682,-1.71455715,1.39391218,-1.71455715,47.91519834,-11.11457514,1.39391218,-11.11457514,3.67896973
0.32021524,0.69245534,0.29823288,-0.01755535,0.04637377,-0.00147409,203.04475874,-27.56900945,-27.59025842,-27.56900945,172.62128240,-10.21760506,-27.59025842,-10.21760506,73.52667049,1.30785367,-1.70674728,1.39134264,-1.70674728,47.94075798,-11.17021227,1.39134264,-11.17021227,3.69637873
0.32019767,0.69250171,0.29823141,-0.01758015,0.04634914,-0.00146963,203.04876206,-27.59541047,-27.58534885,-27.59541047,172.60183783,-10.20922994,-27.58534885,-10.20922994,73.52148324,1.30543028,-1.69890888,1.38872859,-1.69890888,47.96638683,-11.22598809,1.38872859,-11.22598809,3.71410272
0.32018008,0.69254804,0.29822995,-0.01760501,0.04632453,-0.00146512,203.05273415,-27.62181769,-27.58042000,-27.62181769,172.58245158,-10.20083120,-27.58042000,-10.20083120,73.51626812,1.30299671,-1.69104225,1.38607029,-1.69104225,47.99208589,-11.28190339,1.38607029,-11.28190339,3.73214574
0.32016246,0.69259435,0.29822848,-0.01762991,0.04629996,-0.00146056,203.05667490,-27.64823108,-27.57547196,-27.64823108,172.56312360,-10.19240894,-27.57547196,-10.19240894,73.51102472,1.30055304,-1.68314769,1.38336799,-1.68314769,48.01785617,-11.33795893,1.38336799,-11.33795893,3.75051183
0.32014482,0.69264064,0.29822702,-0.01765486,0.04627541,-0.00145594,203.06058421,-27.67465063,-27.57050479,-27.67465063,172.54385385,-10.18396328,-27.57050479,-10.18396328,73.50575265,1.29809934,-1.67522550,1.38062196,-1.67522550,48.04369869,-11.39415549,1.38062196,-11.39415549,3.76920503
0.32012715,0.69268691,0.29822557,-0.01767986,0.04625089,-0.00145126,203.06446198,-27.70107631,-27.56551856,-27.70107631,172.52464231,-10.17549430,-27.56551856,-10.17549430,73.50045151,1.29563567,-1.66727596,1.37783245,-1.66727596,48.06961445,-11.45049384,1.37783245,-11.45049384,3.78822939
0.32010946,0.69273314,0.29822412,-0.01770489,0.04622641,-0.00144654,203.06830808,-27.72750811,-27.56051337,-27.72750811,172.50548892,-10.16700210,-27.56051337,-10.16700210,73.49512091,1.29316211,-1.65929939,1.37499971,-1.65929939,48.09560448,-11.50697476,1.37499971,-11.50697476,3.80758895
0.32009174,0.69277936,0.29822268,-0.01772996,0.04620196,-0.00144176,203.07212241,-27.75394600,-27.55548927,-27.75394600,172.48639365,-10.15848678,-27.55548927,-10.15848678,73.48976047,1.29067873,-1.65129608,1.37212399,-1.65129608,48.12166977,-11.56359901,1.37212399,-11.56359901,3.82728776
0.32007400,0.69282555,0.29822124,-0.01775506,0.04617754,-0.00143692,203.07590487,-27.78038996,-27.55044636,-27.78038996,172.46735646,-10.14994845,-27.55044636,-10.14994845,73.48436977,1.28818558,-1.64326633,1.36920557,-1.64326633,48.14781135,-11.62036737,1.36920557,-11.62036737,3.84732986
0.32005623,0.69287171,0.29821980,-0.01778019,0.04615315,-0.00143204,203.07965534,-27.80683998,-27.54538470,-27.80683998,172.44837731,-10.14138719,-27.54538470,-10.14138719,73.47894843,1.28568276,-1.63521044,1.36624469,-1.63521044,48.17403023,-11.67728061,1.36624469,-11.67728061,3.86771929
0.32003844,0.69291785,0.29821837,-0.01780535,0.04612880,-0.00142711,203.08337372,-27.83329603,-27.54030436,-27.83329603,172.42945616,-10.13280311,-27.54030436,-10.13280311,73.47349604,1.28317031,-1.62712871,1.36324161,-1.62712871,48.20032742,-11.73433951,1.36324161,-11.73433951,3.88846010
0.32002062,0.69296397,0.29821695,-0.01783052,0.04610449,-0.00142212,203.08705991,-27.85975808,-27.53520544,-27.85975808,172.41059296,-10.12419630,-27.53520544,-10.12419630,73.46801222,1.28064832,-1.61902144,1.36019660,-1.61902144,48.22670393,-11.79154483,1.36019660,-11.79154483,3.90955637
0.32000278,0.69301006,0.29821553,-0.01785572,0.04608021,-0.00141709,203.09071378,-27.88622612,-27.53008800,-27.88622612,172.39178768,-10.11556686,-27.53008800,-10.11556686,73.46249653,1.27811686,-1.61088893,1.35710993,-1.61088893,48.25316077,-11.84889736,1.35710993,-11.84889736,3.93101217
0.31998491,0.69305613,0.29821412,-0.01788093,0.04605596,-0.00141201,203.09433524,-27.91270012,-27.52495212,-27.91270012,172.37304027,-10.10691488,-27.52495212,-10.10691488,73.45694858,1.27557600,-1.60273151,1.35398187,-1.60273151,48.27969897,-11.90639785,1.35398187,-11.90639785,3.95283159
0.31996702,0.69310218,0.29821271,-0.01790615,0.04603175,-0.00140688,203.09792417,-27.93918006,-27.51979788,-27.93918006,172.35435068,-10.09824046,-27.51979788,-10.09824046,73.45136795,1.27302581,-1.59454947,1.35081269,-1.59454947,48.30631953,-11.96404709,1.35081269,-11.96404709,3.97501870
0.31994910,0.69314819,0.29821130,-0.01793137,0.04600758,-0.00140171,203.10148048,-27.96566592,-27.51462535,-27.96566592,172.33571887,-10.08954369,-27.51462535,-10.08954369,73.44575424,1.27046637,-1.58634312,1.34760265,-1.58634312,48.33302346,-12.02184585,1.34760265,-12.02184585,3.99757758
0.31993116,0.69319419,0.29820990,-0.01795660,0.04598345,-0.00139649,203.10500404,-27.99215766,-27.50943462,-27.99215766,172.31714479,-10.08082467,-27.50943462,-10.08082467,73.44010703,1.26789774,-1.57811278,1.34435203,-1.57811278,48.35981179,-12.07979488,1.34435203,-12.07979488,4.02051232
0.31991319,0.69324016,0.29820851,-0.01798183,0.04595935,-0.00139123,203.10849476,-28.01865527,-27.50422576,-28.01865527,172.29862841,-10.07208349,-27.50422576,-10.07208349,73.43442592,1.26532001,-1.56985873,1.34106109,-1.56985873,48.38668552,-12.13789498,1.34106109,-12.13789498,4.04382699
0.31989519,0.69328611,0.29820712,-0.01800706,0.04593529,-0.00138592,203.11195252,-28.04515872,-27.49899884,-28.04515872,172.28016967,-10.06332025,-27.49899884,-10.06332025,73.42871050,1.26273323,-1.56158131,1.33773011,-1.56158131,48.41364567,-12.19614691,1.33773011,-12.19614691,4.06752566
0.31987717,0.69333203,0.29820574,-0.01803228,0.04591127,-0.00138057,203.11537722,-28.07166798,-27.49375395,-28.07166798,172.26176853,-10.05453504,-27.49375395,-10.05453504,73.42296036,1.26013749,-1.55328080,1.33435936,-1.55328080,48.44069326,-12.25455144,1.33435936,-12.25455144,4.09161243
0.31985913,0.69337793,0.29820436,-0.01805748,0.04588729,-0.00137518,203.11876876,-28.09818305,-27.48849116,-28.09818305,172.24342495,-10.04572795,-27.48849116,-10.04572795,73.41717509,1.25753286,-1.54495753,1.33094911,-1.54495753,48.46782928,-12.31310934,1.33094911,-12.31310934,4.11609137
0.31984106,0.69342381,0.29820299,-0.01808267,0.04586335,-0.00136975,203.12212701,-28.12470388,-27.48321055,-28.12470388,172.22513888,-10.03689909,-27.48321055,-10.03689909,73.41135426,1.25491941,-1.53661180,1.32749963,-1.53661180,48.49505477,-12.37182138,1.32749963,-12.37182138,4.14096655
0.31982296,0.69346966,0.29820162,-0.01810785,0.04583945,-0.00136428,203.12545188,-28.15123045,-27.47791220,-28.15123045,172.20691027,-10.02804853,-27.47791220,-10.02804853,73.40549746,1.25229721,-1.52824392,1.32401120,-1.52824392,48.52237071,-12.43068831,1.32401120,-12.43068831,4.16624207
0.31980484,0.69351549,0.29820026,-0.01813300,0.04581559,-0.00135876,203.12874325,-28.17776274,-27.47259619,-28.17776274,172.18873907,-10.01917638,-27.47259619,-10.01917638,73.39960426,1.24966635,-1.51985422,1.32048412,-1.51985422,48.54977811,-12.48971091,1.32048412,-12.48971091,4.19192199
0.31978670,0.69356129,0.29819890,-0.01815812,0.04579176,-0.00135321,203.13200103,-28.20430071,-27.46726259,-28.20430071,172.17062523,-10.01028272,-27.46726259,-10.01028272,73.39367424,1.24702689,-1.51144301,1.31691865,-1.51144301,48.57727799,-12.54888992,1.31691865,-12.54888992,4.21801041
0.31976853,0.69360707,0.29819755,-0.01818322,0.04576798,-0.00134762,203.13522510,-28.23084435,-27.46191149,-28.23084435,172.15256870,-10.00136765,-27.46191149,-10.00136765,73.38770699,1.24437891,-1.50301059,1.31331508,-1.50301059,48.60487135,-12.60822612,1.31331508,-12.60822612,4.24451140
0.31975033,0.69365283,0.29819621,-0.01820829,0.04574423,-0.00134200,203.13841536,-28.25739362,-27.45654296,-28.25739362,172.13456944,-9.99243126,-27.45654296,-9.99243126,73.38170207,1.24172248,-1.49455730,1.30967369,-1.49455730,48.63255919,-12.66772026,1.30967369,-12.66772026,4.27142905
