x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.53092393,0.46817426,0.29678545,-0.14788525,0.20156996,0.01466904,224.27899892,-8.24416991,0.34932527,-8.24416991,170.05113831,34.93277942,0.34932527,34.93277942,89.01313910,0.13722271,0.26622858,0.51457494,0.26622858,27.29757169,7.63892632,0.51457494,7.63892632,113.08741909
0.53077596,0.46837573,0.29680013,-0.14804651,0.20137445,0.01468303,224.30120910,-8.24392402,0.34905142,-8.24392402,170.03072165,34.93248466,0.34905142,34.93248466,89.00831850,0.13928063,0.27161228,0.52027996,0.27161228,27.40365033,7.67385838,0.52027996,7.67385838,113.08245611
0.53062784,0.46857700,0.29681482,-0.14820705,0.20117905,0.01469681,224.32341570,-8.24364688,0.34877577,-8.24364688,170.01038013,34.93215668,0.34877577,34.93215668,89.00359190,0.14137723,0.27706004,0.52601716,0.27706004,27.50975586,7.70865269,0.52601716,7.70865269,113.07678660
0.53047955,0.46877809,0.29682952,-0.14836689,0.20098376,0.01471039,224.34561860,-8.24333852,0.34849839,-8.24333852,169.99011367,34.93179580,0.34849839,34.93179580,88.99895876,0.14351303,0.28257203,0.53178652,0.28257203,27.61588471,7.74330959,0.53178652,7.74330959,113.07040995
0.53033110,0.46897897,0.29684424,-0.14852602,0.20078858,0.01472377,224.36781767,-8.24299895,0.34821934,-8.24299895,169.96992221,34.93140237,0.34821934,34.93140237,88.99441852,0.14568857,0.28814832,0.53758801,0.28814832,27.72203346,7.77782944,0.53758801,7.77782944,113.06332563
0.53018250,0.46917966,0.29685897,-0.14868446,0.20059352,0.01473693,224.39001279,-8.24262818,0.34793865,-8.24262818,169.94980566,34.93097670,0.34793865,34.93097670,88.98997065,0.14790440,0.29378902,0.54342160,0.29378902,27.82819870,7.81221258,0.54342160,7.81221258,113.05553315
0.53003373,0.46938016,0.29687371,-0.14884222,0.20039858,0.01474989,224.41220381,-8.24222624,0.34765640,-8.24222624,169.92976397,34.93051911,0.34765640,34.93051911,88.98561463,0.15016107,0.29949421,0.54928725,0.29949421,27.93437703,7.84645936,0.54928725,7.84645936,113.04703202
0.52988481,0.46958046,0.29688847,-0.14899930,0.20020377,0.01476263,224.43439062,-8.24179313,0.34737265,-8.24179313,169.90979705,34.93002993,0.34737265,34.93002993,88.98134991,0.15245913,0.30526398,0.55518493,0.30526398,28.04056503,7.88057016,0.55518493,7.88057016,113.03782175
0.52973573,0.46978057,0.29690324,-0.14915571,0.20000908,0.01477516,224.45657308,-8.24132887,0.34708743,-8.24132887,169.88990483,34.92950948,0.34708743,34.92950948,88.97717597,0.15479911,0.31109842,0.56111462,0.31109842,28.14675932,7.91454530,0.56111462,7.91454530,113.02790185
0.52958650,0.46998048,0.29691802,-0.14931146,0.19981453,0.01478747,224.47875106,-8.24083349,0.34680082,-8.24083349,169.87008723,34.92895808,0.34680082,34.92895808,88.97309226,0.15718158,0.31699761,0.56707628,0.31699761,28.25295648,7.94838515,0.56707628,7.94838515,113.01727182
0.52943711,0.47018020,0.29693281,-0.14946655,0.19962012,0.01479956,224.50092444,-8.24030699,0.34651287,-8.24030699,169.85034419,34.92837606,0.34651287,34.92837606,88.96909825,0.15960708,0.32296164,0.57306988,0.32296164,28.35915312,7.98209006,0.57306988,7.98209006,113.00593117
0.52928757,0.47037972,0.29694762,-0.14962100,0.19942584,0.01481143,224.52309309,-8.23974939,0.34622364,-8.23974939,169.83067564,34.92776373,0.34622364,34.92776373,88.96519341,0.16207615,0.32899061,0.57909540,0.32899061,28.46534582,8.01566039,0.57909540,8.01566039,112.99387941
0.52913787,0.47057905,0.29696243,-0.14977480,0.19923171,0.01482308,224.54525687,-8.23916070,0.34593317,-8.23916070,169.81108148,34.92712143,0.34593317,34.92712143,88.96137721,0.16458936,0.33508460,0.58515279,0.33508460,28.57153119,8.04909648,0.58515279,8.04909648,112.98111604
0.52898802,0.47077818,0.29697726,-0.14992798,0.19903773,0.01483451,224.56741565,-8.23854095,0.34564154,-8.23854095,169.79156166,34.92644947,0.34564154,34.92644947,88.95764911,0.16714724,0.34124368,0.59124203,0.34124368,28.67770584,8.08239868,0.59124203,8.08239868,112.96764061
0.52883801,0.47097712,0.29699210,-0.15008054,0.19884389,0.01484570,224.58956932,-8.23789015,0.34534879,-8.23789015,169.77211610,34.92574816,0.34534879,34.92574816,88.95400859,0.16975038,0.34746788,0.59736310,0.34746788,28.78386655,8.11556736,0.59736310,8.11556736,112.95345276
0.52868786,0.47117587,0.29700695,-0.15023247,0.19865022,0.01485667,224.61171772,-8.23720830,0.34505498,-8.23720830,169.75274473,34.92501781,0.34505498,34.92501781,88.95045516,0.17239937,0.35375723,0.60351596,0.35375723,28.89001010,8.14860285,0.60351596,8.14860285,112.93855215
0.52853755,0.47137442,0.29702182,-0.15038381,0.19845670,0.01486741,224.63386072,-8.23649543,0.34476017,-8.23649543,169.73344746,34.92425873,0.34476017,34.92425873,88.94698830,0.17509480,0.36011174,0.60970060,0.36011174,28.99613327,8.18150552,0.60970060,8.18150552,112.92293848
0.52838709,0.47157278,0.29703669,-0.15053454,0.19826334,0.01487791,224.65599820,-8.23575155,0.34446440,-8.23575155,169.71422422,34.92347122,0.34446440,34.92347122,88.94360750,0.17783726,0.36653141,0.61591697,0.36653141,29.10223286,8.21427572,0.61591697,8.21427572,112.90661140
0.52823648,0.47177095,0.29705157,-0.15068468,0.19807015,0.01488818,224.67813002,-8.23497667,0.34416775,-8.23497667,169.69507495,34.92265559,0.34416775,34.92265559,88.94031225,0.18062732,0.37301628,0.62216506,0.37301628,29.20830565,8.24691379,0.62216506,8.24691379,112.88957059
0.52808572,0.47196892,0.29706646,-0.15083424,0.19787713,0.01489822,224.70025605,-8.23417080,0.34387026,-8.23417080,169.67599956,34.92181215,0.34387026,34.92181215,88.93710204,0.18346558,0.37956635,0.62844484,0.37956635,29.31434844,8.27942010,0.62844484,8.27942010,112.87181573
0.52793481,0.47216670,0.29708137,-0.15098322,0.19768429,0.01490801,224.72237615,-8.23333397,0.34357199,-8.23333397,169.65699797,34.92094121,0.34357199,34.92094121,88.93397636,0.18635263,0.38618164,0.63475628,0.38618164,29.42035800,8.31179499,0.63475628,8.31179499,112.85334648
0.52778375,0.47236429,0.29709628,-0.15113163,0.19749162,0.01491756,224.74449019,-8.23246618,0.34327299,-8.23246618,169.63807012,34.92004307,0.34327299,34.92004307,88.93093471,0.18928906,0.39286217,0.64109936,0.39286217,29.52633114,8.34403881,0.64109936,8.34403881,112.83416253
0.52763255,0.47256169,0.29711120,-0.15127948,0.19729914,0.01492687,224.76659803,-8.23156745,0.34297332,-8.23156745,169.61921593,34.91911805,0.34297332,34.91911805,88.92797657,0.19227544,0.39960795,0.64747404,0.39960795,29.63226464,8.37615192,0.64747404,8.37615192,112.81426355
0.52748120,0.47275889,0.29712613,-0.15142678,0.19710684,0.01493593,224.78869955,-8.23063779,0.34267304,-8.23063779,169.60043532,34.91816644,0.34267304,34.91816644,88.92510144,0.19531238,0.40641899,0.65388031,0.40641899,29.73815532,8.40813467,0.65388031,8.40813467,112.79364923
0.52732970,0.47295590,0.29714107,-0.15157354,0.19691472,0.01494475,224.81079460,-8.22967722,0.34237220,-8.22967722,169.58172822,34.91718854,0.34237220,34.91718854,88.92230883,0.19840049,0.41329524,0.66031813,0.41329524,29.84400013,8.43998741,0.66031813,8.43998741,112.77231940
0.52717805,0.47315272,0.29715602,-0.15171975,0.19672281,0.01495332,224.83288304,-8.22868574,0.34207086,-8.22868574,169.56309454,34.91618465,0.34207086,34.91618465,88.91959825,0.20154041,0.42023665,0.66678750,0.42023665,29.94979609,8.47171048,0.66678750,8.47171048,112.75027388
0.52702626,0.47334935,0.29717098,-0.15186544,0.19653109,0.01496163,224.85496475,-8.22766338,0.34176907,-8.22766338,169.54453422,34.91515505,0.34176907,34.91515505,88.91696922,0.20473275,0.42724315,0.67328837,0.42724315,30.05554017,8.50330424,0.67328837,8.50330424,112.72751253
0.52687432,0.47354578,0.29718595,-0.15201061,0.19633956,0.01496970,224.87703958,-8.22661013,0.34146689,-8.22661013,169.52604718,34.91410004,0.34146689,34.91410004,88.91442126,0.20797814,0.43431469,0.67982073,0.43431469,30.16122937,8.53476904,0.67982073,8.53476904,112.70403519
0.52672224,0.47374203,0.29720092,-0.15215526,0.19614825,0.01497750,224.89910739,-8.22552602,0.34116436,-8.22552602,169.50763333,34.91301991,0.34116436,34.91301991,88.91195387,0.21127721,0.44145122,0.68638456,0.44145122,30.26686068,8.56610522,0.68638456,8.56610522,112.67984170
0.52657001,0.47393808,0.29721590,-0.15229940,0.19595714,0.01498505,224.92116805,-8.22441105,0.34086156,-8.22441105,169.48929260,34.91191496,0.34086156,34.91191496,88.90956658,0.21463058,0.44865267,0.69297983,0.44865267,30.37243109,8.59731313,0.69297983,8.59731313,112.65493189
0.52641764,0.47413394,0.29723089,-0.15244305,0.19576624,0.01499235,224.94322141,-8.22326524,0.34055852,-8.22326524,169.47102492,34.91078547,0.34055852,34.91078547,88.90725890,0.21803888,0.45591899,0.69960653,0.45591899,30.47793760,8.62839312,0.69960653,8.62839312,112.62930561
0.52626512,0.47432961,0.29724589,-0.15258620,0.19557556,0.01499938,224.96526735,-8.22208860,0.34025532,-8.22208860,169.45283021,34.90963174,0.34025532,34.90963174,88.90503034,0.22150273,0.46325012,0.70626462,0.46325012,30.58337721,8.65934555,0.70626462,8.65934555,112.60296270
0.52611246,0.47452509,0.29726089,-0.15272887,0.19538510,0.01500615,224.98730573,-8.22088115,0.33995199,-8.22088115,169.43470839,34.90845405,0.33995199,34.90845405,88.90288042,0.22502277,0.47064600,0.71295409,0.47064600,30.68874689,8.69017075,0.71295409,8.69017075,112.57590301
0.52595966,0.47472038,0.29727590,-0.15287107,0.19519486,0.01501265,225.00933639,-8.21964289,0.33964860,-8.21964289,169.41665938,34.90725271,0.33964860,34.90725271,88.90080865,0.22859961,0.47810656,0.71967490,0.47810656,30.79404369,8.72086908,0.71967490,8.72086908,112.54812640
0.52580672,0.47491548,0.29729091,-0.15301280,0.19500485,0.01501889,225.03135922,-8.21837383,0.33934520,-8.21837383,169.39868311,34.90602799,0.33934520,34.90602799,88.89881458,0.23223393,0.48563169,0.72642706,0.48563169,30.89926477,8.75144089,0.72642706,8.75144089,112.51963285
0.52565364,0.47511039,0.29730594,-0.15315406,0.19481507,0.01502486,225.05337405,-8.21707399,0.33904185,-8.21707399,169.38077949,34.90478016,0.33904185,34.90478016,88.89689774,0.23592637,0.49322125,0.73321052,0.49322125,31.00440733,8.78188650,0.73321052,8.78188650,112.49042238
0.52550041,0.47530511,0.29732096,-0.15329487,0.19462553,0.01503056,225.07538076,-8.21574337,0.33873860,-8.21574337,169.36294846,34.90350951,0.33873860,34.90350951,88.89505767,0.23967761,0.50087511,0.74002528,0.50087511,31.10946859,8.81220628,0.74002528,8.81220628,112.46049500
0.52534705,0.47549964,0.29733600,-0.15343524,0.19443622,0.01503599,225.09737919,-8.21438199,0.33843550,-8.21438199,169.34518992,34.90221631,0.33843550,34.90221631,88.89329391,0.24348830,0.50859313,0.74687131,0.50859313,31.21444575,8.84240055,0.74687131,8.84240055,112.42985072
0.52519354,0.47569398,0.29735104,-0.15357516,0.19424716,0.01504114,225.11936922,-8.21298985,0.33813261,-8.21298985,169.32750380,34.90090084,0.33813261,34.90090084,88.89160600,0.24735910,0.51637519,0.75374860,0.51637519,31.31933601,8.87246967,0.75374860,8.87246967,112.39848954
